beta_size,beta_text,lambda,best_ctr,best_btn_w,best_btn_h,best_font_size,best_text_quality,best_whitespace_ratio,best_scroll,best_hour
0.3,0.3,1.0,0.9735,256.11188375784,99.8981159531839,41.44988500005981,0.6448919203042868,0.44111280432039046,0.09528314763256486,12
0.3,0.3,2.0,0.2495,115.70115326640789,53.0849689882721,10.0,0.17316863811266972,0.5,0.0,12
0.3,0.3,3.0,0.9345,286.0,116.0,10.0,0.0,0.0,0.0,12
0.3,0.6,1.0,0.9605,33.0,86.44914534859862,10.0,0.8454147174209766,0.0,0.0,12
0.3,0.6,2.0,0.968,248.93562961217873,116.0,29.40869970041325,0.0,0.5,0.0,12
0.3,0.6,3.0,0.7245,68.6162443287026,116.0,38.836872895970664,0.22325594531406273,0.23174660218883994,0.0,12
0.3,0.9,1.0,0.9615,74.4190357137291,51.8400135310643,17.224347133795824,1.0,0.12699063373459452,0.0,12
0.3,0.9,2.0,0.8215,33.0,25.0,10.0,1.0,0.0,0.0,12
0.3,0.9,3.0,0.9105,33.0,71.11899191110268,46.0,1.0,0.0,0.0,12
0.6,0.3,1.0,0.9455,286.0,116.0,10.0,0.9058051992316626,0.06129975289693769,0.05431497473769234,12
0.6,0.3,2.0,0.9105,33.0,25.0,10.0,0.0,0.0,0.0,12
0.6,0.3,3.0,0.482,33.0,116.0,20.992106594448476,0.9493281626560646,0.5,0.0,12
0.6,0.6,1.0,0.9505,33.0,25.0,10.0,0.0,0.0,0.0,12
0.6,0.6,2.0,0.6565,82.65351607241647,116.0,31.48475764479977,0.7344172713796941,0.0,1.0,12
0.6,0.6,3.0,0.7315,286.0,116.0,10.0,1.0,0.5,0.0,12
0.6,0.9,1.0,0.991,286.0,116.0,10.0,0.0,0.0,0.0,12
0.6,0.9,2.0,0.8655,33.0,25.0,10.0,1.0,0.0,0.0,12
0.6,0.9,3.0,0.969,286.0,116.0,10.0,1.0,0.0,0.0,12
0.9,0.3,1.0,0.974,33.0,116.0,46.0,1.0,0.5,0.0,12
0.9,0.3,2.0,0.972,33.0,116.0,46.0,0.0,0.5,0.0,12
0.9,0.3,3.0,0.8815,286.0,30.479337922429213,11.227130650714432,0.4546644333482172,0.24832908786923585,0.0,12
0.9,0.6,1.0,0.9625,33.0,66.2865981687587,29.430270802849385,1.0,0.09700128617073957,0.0,12
0.9,0.6,2.0,0.9825,143.2526480339564,116.0,41.2287043790356,0.7795400595347501,0.21802746260585917,0.0,12
0.9,0.6,3.0,0.9165,286.0,25.0,10.0,1.0,0.09918837336487912,0.0,12
0.9,0.9,1.0,0.9795,286.0,116.0,44.65439322515425,0.7950395039525184,0.5,0.0,12
0.9,0.9,2.0,0.894,265.56899338380214,53.25551542464229,19.003687468962717,0.6888884412593157,0.5,0.0,12
0.9,0.9,3.0,0.852,54.79212770872627,116.0,39.7315444404652,1.0,0.17046521161691564,0.0,12
1.2,0.3,1.0,0.961,33.0,116.0,10.0,1.0,0.5,0.0,12
1.2,0.3,2.0,0.982,286.0,116.0,14.690219376245091,1.0,0.5,0.0,12
1.2,0.3,3.0,0.9525,33.0,25.0,10.0,1.0,0.5,0.0,12
1.2,0.6,1.0,0.951,76.35163910847152,114.22906511372462,16.937368918725557,0.45475379936889837,0.26530727300508605,0.22321230836316203,12
1.2,0.6,2.0,0.965,174.5068953099744,116.0,45.434753366254355,0.498419789289518,0.460112569622156,0.0,12
1.2,0.6,3.0,0.9575,33.0,25.0,10.0,1.0,0.5,0.0,12
1.2,0.9,1.0,0.9485,33.0,116.0,10.0,0.0,0.5,0.0,12
1.2,0.9,2.0,0.9635,286.0,25.0,10.0,0.0,0.0,0.0,12
1.2,0.9,3.0,0.9835,169.63596712876398,72.3232314520003,33.20778869841766,1.0,0.5,0.0,12
1.5,0.3,1.0,0.9815,246.74251825856936,116.0,10.0,1.0,0.5,0.0,12
1.5,0.3,2.0,0.8935,48.810264106606695,116.0,10.0,1.0,0.0,0.0,12
1.5,0.3,3.0,0.8455,286.0,104.97906921188213,21.397073004132437,0.37092317121672846,0.0,0.0,12
1.5,0.6,1.0,0.911,286.0,116.0,17.417892920536776,0.7356500005707047,0.16045001954984595,0.18485973925136906,12
1.5,0.6,2.0,0.998,252.9065632226576,116.0,18.27696634111605,0.0,0.49986279044496656,0.0,12
1.5,0.6,3.0,0.9725,33.0,116.0,46.0,1.0,0.5,0.0,12
1.5,0.9,1.0,0.973,286.0,116.0,46.0,1.0,0.0,0.0,12
1.5,0.9,2.0,0.9105,33.0,116.0,46.0,0.0,0.5,0.0,12
1.5,0.9,3.0,0.9105,33.0,116.0,10.0,1.0,0.5,0.0,12
